Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-14,15.104,5.780,0.000,9.992,14.800,15.100,15.600,5.400,5.800,6.100,9.708,10.021,10.263,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,7.992,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-14T19:52:34+00:00
2026-07-15,16.494,10.053,0.000,13.188,15.700,16.500,17.600,9.500,10.000,10.600,12.713,13.208,13.588,0.000,0.000,0.300,0.155,3.922,0.000,0.000,0.000,11.188,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-14T19:52:34+00:00
2026-07-16,20.059,14.012,0.000,16.664,18.400,20.000,21.700,12.700,14.200,14.800,16.133,16.679,17.279,0.000,0.000,0.600,0.204,5.882,0.000,0.000,0.000,14.664,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-14T19:52:34+00:00
2026-07-17,21.084,15.418,7.200,17.840,19.900,20.800,22.600,14.300,15.500,16.400,17.262,17.704,18.617,1.500,7.200,15.000,7.963,90.196,58.824,35.294,1.961,15.840,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-14T19:52:34+00:00
2026-07-18,17.959,12.400,1.200,15.145,15.700,17.800,20.600,9.800,13.000,14.500,13.383,15.138,16.992,0.000,1.200,6.300,3.118,54.902,15.686,7.843,0.000,13.145,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-14T19:52:34+00:00
2026-07-19,14.431,9.120,0.900,11.607,12.500,14.500,16.200,6.900,9.100,11.200,9.733,11.650,13.688,0.000,0.900,7.500,3.039,49.020,17.647,7.843,0.000,9.607,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-14T19:52:34+00:00
2026-07-20,14.737,7.951,0.600,11.081,11.800,14.600,17.100,5.600,8.300,9.400,9.042,11.292,12.642,0.000,0.600,5.100,1.982,43.137,11.765,3.922,0.000,9.081,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-14T19:52:34+00:00
