Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-22,13.992,8.565,7.500,10.774,13.400,14.100,14.600,7.500,8.900,9.100,10.358,10.721,11.204,3.000,7.500,13.400,7.900,96.078,76.471,25.490,0.000,8.774,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-22T19:53:52+00:00
2026-07-23,14.669,7.002,0.000,10.794,13.400,14.800,15.700,5.300,7.200,8.400,9.950,10.917,11.438,0.000,0.000,0.000,0.020,0.000,0.000,0.000,0.000,8.794,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-22T19:53:52+00:00
2026-07-24,16.814,9.965,1.800,12.779,15.900,16.900,17.800,9.000,10.100,10.800,12.242,12.888,13.358,0.000,1.800,5.500,2.251,62.745,13.725,0.000,0.000,10.779,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-22T19:53:52+00:00
2026-07-25,16.980,8.178,0.000,12.000,15.200,17.200,18.500,6.100,8.400,9.400,10.725,12.229,13.037,0.000,0.000,0.600,0.157,3.922,0.000,0.000,0.000,10.000,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-22T19:53:52+00:00
2026-07-26,19.559,9.184,0.000,13.663,18.600,19.600,20.400,7.900,9.300,10.400,12.708,13.746,14.617,0.000,0.000,0.000,0.037,1.961,0.000,0.000,0.000,11.663,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-22T19:53:52+00:00
2026-07-27,21.535,12.459,0.000,16.131,20.100,21.500,22.800,11.000,12.600,13.600,15.150,16.275,17.100,0.000,0.000,0.500,0.229,5.882,0.000,0.000,0.000,14.131,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-22T19:53:52+00:00
2026-07-28,17.812,10.827,1.800,14.291,15.000,18.300,20.600,8.200,10.600,13.100,11.217,14.612,16.596,0.000,1.800,9.100,3.967,62.745,19.608,9.804,1.961,12.291,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-22T19:53:52+00:00
