Fecha,TMAX,TMIN,Prec,TMEDIA,TMAX_P10,TMAX_P50,TMAX_P90,TMIN_P10,TMIN_P50,TMIN_P90,TMEDIA_P10,TMEDIA_P50,TMEDIA_P90,Prec_P10,Prec_P50,Prec_P90,Prec_Media_Ens,Prob_Prec_ge_1mm,Prob_Prec_ge_5mm,Prob_Prec_ge_10mm,Prob_Prec_ge_30mm,GD_Tb2,Fuente,TipoDato,CalidadDato,N_miembros,Latitud_grilla,Longitud_grilla,Elevacion_grilla_m,Emision_UTC
2026-07-17,22.516,15.778,6.900,18.978,21.900,22.400,23.200,15.000,15.800,16.400,18.521,19.021,19.279,3.000,6.900,13.200,7.827,100.000,78.431,27.451,0.000,16.978,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-17T19:41:13+00:00
2026-07-18,17.380,12.735,5.100,15.072,15.800,17.100,19.100,11.300,12.600,14.100,14.146,15.092,15.983,1.400,5.100,15.600,7.506,96.078,54.902,35.294,0.000,13.072,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-17T19:41:13+00:00
2026-07-19,14.159,9.286,1.100,11.513,12.800,14.100,15.400,7.900,9.200,10.800,10.450,11.571,12.400,0.000,1.100,4.900,2.025,52.941,9.804,3.922,0.000,9.513,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-17T19:41:13+00:00
2026-07-20,12.235,7.484,1.200,9.724,10.300,12.300,14.000,6.400,7.400,8.600,8.725,9.646,10.783,0.000,1.200,6.600,2.445,52.941,11.765,3.922,0.000,7.724,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-17T19:41:13+00:00
2026-07-21,12.237,6.612,0.400,9.065,10.100,12.300,13.700,4.900,6.300,9.400,7.667,8.912,11.188,0.000,0.400,2.300,1.145,29.412,1.961,1.961,0.000,7.065,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-17T19:41:13+00:00
2026-07-22,13.565,6.712,0.300,9.708,11.500,13.700,15.600,4.600,6.900,8.600,7.725,9.996,11.100,0.000,0.300,2.100,0.649,21.569,0.000,0.000,0.000,7.708,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-17T19:41:13+00:00
2026-07-23,15.867,6.635,0.000,10.779,14.700,16.000,17.300,4.000,6.800,8.700,9.279,10.675,12.325,0.000,0.000,1.000,0.269,11.765,0.000,0.000,0.000,8.779,ECMWF_IFS_ENS_025,Pronostico,Mediana_ensamble,51,-34.000,-60.500,70.000,2026-07-17T19:41:13+00:00
